Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total Sales,Market Share
3W,J P AUTO TECH,0,0,0,17,6,8,50,82,80,30,243,0.007059931
2W,OMJAY EV LIMITED,0,0,0,0,0,0,0,172,67,13,239,0.006943718
2W,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),0,0,0,0,0,0,0,23,214,89,237,0.006885612
3W,KAMAZ INDUSTRIES,0,0,0,6,5,30,9,61,122,42,233,0.006769399
2W,IRA EDUTECH PVT LTD,0,0,0,0,0,38,78,98,19,6,233,0.006769399
2W,MARUTHISAN PVT LTD,0,0,0,0,0,0,0,84,147,90,231,0.006711292
3W,TEJASGREEN AUTOMOTIVE PVT LTD,0,0,0,24,141,16,7,42,1,0,231,0.006711292
3W,M2J E VAHAN PVT LTD,0,0,0,0,17,54,105,50,0,8,226,0.006566026
3W,ELECTRECA VEHICLES,0,0,0,4,181,29,9,0,0,0,223,0.006478867
3W,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,33,190,109,223,0.006478867
3W,THE COMMERCIAL MOTORS LIMITED,0,0,0,0,32,14,38,79,58,4,221,0.00642076
3W,EDMRC MANNSCHAFT LLP,0,0,0,0,16,29,36,49,89,20,219,0.006362654
2W,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),0,0,0,0,0,0,0,0,218,232,218,0.006333601
3W,ASHA IMPEX,0,0,5,21,2,7,35,61,86,126,217,0.006304547
3W,SMART ELECTRO MOTORS,0,0,4,23,25,31,38,48,47,44,216,0.006275494
3W,VISHWAKARMA GNG INDUSTRY,0,0,0,35,30,19,3,6,123,162,216,0.006275494
2W,ELECTRECA VEHICLES,0,0,0,0,2,9,40,93,72,40,216,0.006275494
3W,MAHI ENTERPRISES,0,0,0,22,32,8,13,80,60,1,215,0.006246441
3W,KERALA AUTOMOBILES LIMITED,0,0,0,0,0,36,73,32,74,87,215,0.006246441
3W,DYNAVOLT TECHNOLOGY INDIA LTD,0,0,0,142,48,2,11,11,0,1,214,0.006217388
2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,2,209,163,211,0.006130228
3W,SHINME ELECTRICAL VEHICLE PVT LTD,0,0,0,0,0,0,0,91,120,72,211,0.006130228
3W,HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,0,0,0,77,105,3,2,12,11,0,210,0.006101175
3W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,1,2,32,75,66,34,5,210,0.006101175
2W,EXERVAL PVT LTD,0,0,0,0,0,0,0,127,83,13,210,0.006101175
3W,PRAKASH ENTERPRISES,0,0,0,2,19,30,48,46,65,65,210,0.006101175
3W,MONDAL TRADING,0,0,0,0,0,61,68,2,77,38,208,0.006043068
3W,SARAVANA ENGINEERING WORKS,0,0,0,0,0,0,0,0,204,4,204,0.005926856
3W,PATS MOTOR CORP,0,1,18,9,44,59,28,24,21,6,204,0.005926856
3W,HERO ELECTRIC VEHICLE PVT LTD,63,94,42,5,0,0,0,0,0,0,204,0.005926856
3W,ALTIUS TECHNOLOGIES,0,32,7,0,79,30,29,9,13,7,199,0.00578159
3W,ENGINIA VEHICLES PVT LTD,0,0,0,0,0,4,1,0,188,184,193,0.00560727
3W,GALVANIC AUTO PVT LTD,0,0,0,0,0,0,0,0,188,19,188,0.005462004
3W,SPEEDWAYS ELECTRIC,0,0,85,64,19,11,3,1,5,2,188,0.005462004
3W,GOODENERGY INDIA PVT LTD,0,97,86,5,0,0,0,0,0,0,188,0.005462004
3W,MANMOHAN KAUR,0,0,0,0,54,25,6,39,64,65,188,0.005462004
2W,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),0,0,0,0,0,0,0,4,182,109,186,0.005403898
3W,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,0,0,0,0,0,0,0,11,175,223,186,0.005403898
3W,SAINIK CYCLE MART,0,0,0,0,0,0,7,142,36,11,185,0.005374845
3W,BIJNOR ENTERPRISES,0,0,18,24,10,4,4,52,72,24,184,0.005345791
3W,A K AUTTO ELECTRICAL,0,1,72,56,42,1,5,3,2,0,182,0.005287685
3W,MAA KALPANA ENTERPRISE,0,0,0,0,0,0,11,17,153,230,181,0.005258632
3W,GREEN WHEELZ (INDIA),0,0,31,131,15,3,0,0,0,0,180,0.005229578
3W,YAARI AUTOMOBILES PVT LTD,0,0,0,0,29,88,58,1,3,79,179,0.005200525
3W,PANTHER ELECTRIC VEHICLES,0,0,0,0,0,2,33,66,77,23,178,0.005171472
3W,DIVANSHU AUTOMOBILES LIMITED,0,14,129,18,10,3,2,0,0,0,176,0.005113366
3W,CHARUVIKRAM AUTOMOBILE PVT LTD,0,0,0,0,84,56,22,6,6,0,174,0.005055259
3W,VICTORIA E VEHICLES PVT. LTD,0,0,59,59,15,2,1,10,25,2,171,0.0049681
3W,KALIKA VAHAN PVT LTD,0,0,0,55,55,39,17,2,2,0,170,0.004939046
3W,SIRF INDIA VEHICLES PVT LTD,0,0,0,24,45,44,24,5,27,53,169,0.004909993
3W,GOODWILL HI PRECISION WORKS PVT LTD,0,0,3,59,53,19,10,25,0,0,169,0.004909993
3W,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,0,0,0,0,0,0,0,165,108,165,0.00479378
3W,ELEPHANTA INDUSTRIES PVT LTD,0,0,0,0,53,33,18,49,11,8,164,0.004764727
2W,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),0,0,0,0,0,0,0,35,128,48,163,0.004735674
2W,SRIVARU MOTORS PVT LTD,0,0,0,0,0,0,77,60,24,0,161,0.004677567
3W,HERCULES CRANE PVT.LTD.,0,0,145,16,0,0,0,0,0,0,161,0.004677567
2W,SUPERECO AUTOMOTIVE CO,0,0,0,1,0,7,8,14,128,15,158,0.004590408
3W,TRUPART AUTOMOTIVE INDIA PVT LTD,0,0,2,71,61,10,2,0,10,1,156,0.004532301
LMV,PORSCHE AG GERMANY,0,0,0,0,0,0,0,60,96,54,156,0.004532301
3W,SETHJI INDUSTRIES,0,0,88,50,6,6,4,0,0,0,154,0.004474195
3W,NAMAH INDUSTRIES PVT LTD,0,0,0,6,91,38,9,4,5,153,153,0.004445142
3W,JAY ACE TECHNOLOGIES LTD,0,36,88,26,2,1,0,0,0,0,153,0.004445142
3W,KRISHNA INDUSTRIES,0,0,1,0,28,39,37,41,5,0,151,0.004387035
3W,D S INDUSTRIES,0,0,0,0,11,29,31,46,32,2,149,0.004328929
3W,C M OVERSEAS,0,0,0,10,16,17,21,34,50,16,148,0.004299876
3W,ELECTRA INTERNATIONAL,0,0,39,58,23,19,0,0,7,8,146,0.004241769
3W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,145,155,145,0.004212716
3W,PANSEN ENGINEERING INDIA PVT LTD,0,0,0,0,41,57,47,0,0,0,145,0.004212716
2W,WHITE CARBON MOTORS PVT LTD,0,0,0,0,0,0,21,82,42,20,145,0.004212716
3W,CYRUS AUTO INDUSTRIES PVT LTD,0,0,0,0,2,14,7,24,96,37,143,0.00415461
3W,CITADEL ENTERPRISES(OPC) PVT LTD,0,0,0,0,24,26,28,36,28,8,142,0.004125556
3W,ARD EXIM,0,0,0,0,0,14,24,41,61,29,140,0.00406745
3W,ECO DYNAAMIC EQUIPMENTS,0,0,0,0,0,0,19,47,74,55,140,0.00406745
3W,TSR TRADE COM,0,0,0,0,10,35,35,29,30,9,139,0.004038397
3W,AKG INTERNATIONAL,0,0,0,0,0,0,0,0,138,1048,138,0.004009344
3W,DYS IMPEX PVT LTD,1,4,130,2,0,1,0,0,0,0,138,0.004009344
3W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,72,47,15,0,3,1,0,0,138,0.004009344
3W,E-GURU AUTO ENERGY,0,0,0,0,0,0,0,12,125,202,137,0.00398029
3W,MOTOR & GENERAL SALES PVT LTD,0,0,0,102,33,1,0,0,0,0,136,0.003951237
3W,ZOHAN TRADERS AND BIG METRO,0,0,0,0,0,0,0,5,131,74,136,0.003951237
3W,GREEN SHUTTLE TECHNOLOGY PVT LTD,0,0,0,0,18,14,39,36,28,27,135,0.003922184
2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,0,135,154,135,0.003922184
3W,VICTOR AGRO INDUSTRIES,0,49,79,7,0,0,0,0,0,0,135,0.003922184
3W,MLR AUTO LTD,0,0,0,0,0,5,35,23,70,143,133,0.003864077
2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,0,0,0,0,0,0,132,232,132,0.003835024
3W,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,0,0,0,0,129,151,129,0.003747865
2W,MECPOWER MOBILITY PVT. LTD.,0,0,0,0,0,0,0,0,128,154,128,0.003718811
2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,128,184,128,0.003718811
2W,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),0,0,0,0,0,0,2,41,85,11,128,0.003718811
3W,ATUL GREENTECH PRIVATE LIMITED,0,0,0,0,0,0,0,0,127,308,127,0.003689758
3W,RAJIV RAJ VEHICLES PVT LTD,0,0,1,46,28,35,17,0,0,0,127,0.003689758
3W,HUNDA EV PVT LTD,0,0,0,0,0,0,0,0,125,255,125,0.003631652
3W,XXPLORE AUTOMATIVE PVT LTD,0,31,49,15,11,1,1,12,2,0,122,0.003544492
3W,SEALION AUTOMOBILE PVT LTD,0,0,0,0,14,13,22,36,36,13,121,0.003515439
3W,G WILLIAMS FABRICATIONS LTD,0,0,0,44,68,5,1,2,0,0,120,0.003486386
2W,MIRAKLE 5 AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,18,102,12,120,0.003486386
3W,BHADAURIA ENTERPRISES,0,0,0,0,0,0,6,7,106,81,119,0.003457332
3W,TVS MOTOR COMPANY LTD,2,6,6,3,0,0,0,5,97,99,119,0.003457332
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,0,0,0,0,0,0,8,45,65,4,118,0.003428279
3W,GREENETICS INDUSTRIES PVT LTD,0,0,1,0,0,0,0,0,116,0,117,0.003399226
3W,RASIWASIA RASAYAN PVT LTD,0,0,60,22,19,2,1,10,2,4,116,0.003370173
2W,E-SPRINTO GREEN ENERGY PVT LTD,0,0,0,0,0,0,0,0,116,331,116,0.003370173
3W,ANJALI AUTO COMPONENTS,0,0,0,0,0,23,11,21,61,22,116,0.003370173
3W,NGAGE WHEEL PVT LTD,0,0,0,0,38,21,7,8,40,10,114,0.003312066
3W,YUVRAJ INTERNATIONAL,0,0,0,71,31,3,4,5,0,0,114,0.003312066
2W,FIADO INDUSTRIES PVT LTD,0,0,0,0,0,0,0,5,106,58,111,0.003224907
3W,GREEN EVOLVE PVT LTD,0,0,0,0,0,0,0,69,42,172,111,0.003224907
3W,ZESAR MOTORS PVT LTD,0,0,4,12,12,8,15,23,37,19,111,0.003224907
LMV,JAYEM AUTOMOTIVES PVT LTD,0,0,0,0,19,42,49,0,0,0,110,0.003195854
3W,VINCI INDUSTRIAL CORPORATION,0,0,0,0,16,34,12,9,39,37,110,0.003195854
3W,VVA AUTO INDUSTRIES PVT LTD,2,77,22,5,0,1,0,0,0,0,107,0.003108694
3W,XPLORE AUTOMOTIVE PVT LTD,0,42,62,3,0,0,0,0,0,0,107,0.003108694
3W,WOX COOLERS PVT LTD,0,0,26,61,17,0,0,1,2,2,107,0.003108694
3W,K. V. INDUSTRIES,0,0,0,0,26,19,10,12,38,19,105,0.003050587
2W,ATUMOBILE PVT LTD,0,0,0,0,0,0,0,0,105,22,105,0.003050587
3W,INVVIGORS INDIA,0,0,0,0,0,0,0,9,96,73,105,0.003050587
2W,ALTIUS EV TECH PVT LTD,0,0,0,0,0,0,0,67,37,14,104,0.003021534
2W,TUNWAL E MOTORS PVT LTD,0,0,0,0,0,0,1,58,44,16,103,0.002992481
3W,HITECH INDUSTRIES,0,37,62,3,0,0,0,0,0,0,102,0.002963428
2W,SBTEK E MOTO PVT LTD,0,0,0,0,0,14,46,19,22,8,101,0.002934375
3W,GAYAM MOTOR WORKS PRIVATE LIMITED,0,0,0,0,10,28,63,0,0,0,101,0.002934375
2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,14,84,163,98,0.002847215
2W,TYST DRIVE INDIA PVT LTD,0,0,0,0,0,2,25,40,31,6,98,0.002847215
2W,HERO ECO VEHICLES PVT LTD,33,22,17,17,8,0,0,0,0,0,97,0.002818162
2W,ROYAL-ENFIELD (UNIT OF EICHER LTD),56,34,4,1,1,0,0,0,0,0,96,0.002789109
3W,KPT MOTORS,0,0,0,0,0,0,0,15,81,26,96,0.002789109
3W,SPEED AUTO TECH,0,0,0,0,0,0,0,8,87,20,95,0.002760055
3W,U V MOTORS INDIA PVT LTD,0,0,0,45,34,16,0,0,0,0,95,0.002760055
2W,MICROCON I2I PVT LTD,0,0,0,0,0,0,94,0,0,0,94,0.002731002
3W,SHREYA ENGINEERS,0,0,0,2,14,13,43,13,9,3,94,0.002731002
3W,PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,0,0,4,19,13,2,21,23,11,0,93,0.002701949
3W,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,0,0,1,92,22,93,0.002701949
LMV,TOYOTA KIRLOSKAR MOTOR PVT LTD,19,24,12,28,3,0,6,1,0,0,93,0.002701949
3W,WASAN E-MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,13,80,20,93,0.002701949
3W,OM INDUSTRIES,0,0,0,35,12,1,0,0,44,768,92,0.002672896
2W,RIVER MOBILITY PVT LTD,0,0,0,0,0,0,0,0,92,1134,92,0.002672896
3W,BAJAJ IMPLEMENTS PVT LTD,0,0,71,20,0,0,0,0,0,0,91,0.002643842
3W,KIRAN AUTOMOBILE INDUSTRY,0,0,0,0,0,0,0,10,81,77,91,0.002643842
3W,PRESTANTIA CREATIONS PVT LTD,0,0,18,23,9,13,21,0,6,11,90,0.002614789
3W,ALBEDO VISION PVT LTD,0,0,0,15,6,15,0,14,39,4,89,0.002585736
3W,VGLAN BUILDCON PRIVATE LIMITED,0,4,10,8,39,1,27,0,0,0,89,0.002585736
3W,AVON CYCLE LTD INDIA,0,1,17,4,1,3,13,40,10,0,89,0.002585736
3W,CREATIVE ENGINEERINGS,0,0,60,7,21,0,0,0,0,0,88,0.002556683
3W,MALHOTRA  VEHICLE MANUFACTURING PVT LTD,0,0,35,47,6,0,0,0,0,0,88,0.002556683
3W,SIX SENSES AUTOMOTIVE PVT LTD,0,0,0,0,63,8,0,4,12,33,87,0.00252763
3W,LAXMI E-RICKSHAW COMPANY,0,0,0,16,35,11,18,7,0,0,87,0.00252763
3W,SVS ENTERPRISES,0,0,0,0,0,0,0,0,84,17,84,0.00244047
3W,DEEP DRAWN TECHNOLOGIES,0,0,4,46,12,3,3,4,12,14,84,0.00244047
3W,SHREE SIRIDI SAI MINERAL & EXPORTS PVT. LTD,0,0,44,39,0,0,0,0,0,0,83,0.002411417
2W,IZANAU ELECTRIC LLP,0,0,0,0,0,0,0,32,51,13,83,0.002411417
2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),0,0,0,0,0,0,0,0,82,109,82,0.002382364
2W,QICHENG VEHICLE (IMPORTER: AUTOICARE INNOVATION),0,0,0,0,0,0,0,0,81,28,81,0.00235331
3W,KANIFA AUTOMOTIVE PVT LTD,0,0,0,0,2,78,1,0,0,0,81,0.00235331
3W,TRINITY ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,2,13,9,57,120,81,0.00235331
3W,RACCOON MOTORS PVT LTD,0,0,0,0,0,7,35,20,18,9,80,0.002324257
2W,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),0,0,0,0,0,0,0,0,80,101,80,0.002324257
3W,RIYA ENTERPRISE,0,0,0,1,10,5,2,31,31,5,80,0.002324257
2W,HERO HONDA MOTORS  LTD,19,54,4,1,1,0,0,0,0,0,79,0.002295204
3W,SANCHAL AUTOMOBILES PVT LTD,0,0,0,0,56,22,0,0,0,0,78,0.002266151
LMV,A3T INCORPORTED,0,0,2,75,0,0,0,0,0,0,77,0.002237097
3W,VOLMAC ENGINEERING PVT LTD,0,3,26,30,16,2,0,0,0,0,77,0.002237097
3W,YC ELECTRIC VEHICLE PVT LTD,0,0,30,14,24,8,1,0,0,0,77,0.002237097
3W,PASHUPATI VEHICLES PVT LTD,0,0,13,17,29,15,2,1,0,0,77,0.002237097
LMV,JAGUAR LAND ROVER INDIA LIMITED,0,0,0,0,0,0,27,40,9,4,76,0.002208044
3W,PACE AGRO PVT LTD,0,0,29,44,3,0,0,0,0,0,76,0.002208044
3W,GREENTECH AUTO LLP,0,0,0,8,19,36,6,6,1,7,76,0.002208044
3W,NB TURNED  COMPONENTS PVT LTD,0,0,31,29,13,0,2,0,0,0,75,0.002178991
3W,G.K E-VEHICLS INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,74,479,74,0.002149938
2W,INDIA YAMAHA MOTOR PVT LTD,26,31,14,2,0,0,0,0,0,0,73,0.002120885
2W,SUZUKI MOTORCYCLE INDIA PVT LTD,17,24,20,2,1,0,0,9,0,0,73,0.002120885
2W,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),0,0,0,0,0,0,0,0,72,157,72,0.002091831
3W,PURVA UDYOG PVT LTD,0,0,0,0,1,0,13,35,23,8,72,0.002091831
3W,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,57,14,327,71,0.002062778
3W,CAPARO AUTOTECH LTD,0,9,62,0,0,0,0,0,0,0,71,0.002062778
2W,GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),0,0,0,0,0,0,0,0,71,0,71,0.002062778
3W,HITECH  MECHANICAL WORKS,0,0,0,6,1,20,28,2,12,4,69,0.002004672
3W,OLYMPUS INDUSTRIES PVT LTD,0,0,0,3,51,5,10,0,0,0,69,0.002004672
3W,POOSHPAK AUTOMOBILES PVT LTD,0,0,0,0,0,0,2,1,65,249,68,0.001975619
2W,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),0,0,0,0,0,0,0,0,68,21,68,0.001975619
3W,OM PACKAGING,0,0,0,4,29,13,6,15,0,0,67,0.001946565
3W,SWASTIK,0,0,0,0,27,40,0,0,0,1,67,0.001946565
LMV,KALINGA VENTURES INDIA PVT LTD,0,0,1,58,7,0,0,0,0,0,66,0.001917512
2W,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),0,0,0,0,0,0,0,21,45,9,66,0.001917512
2W,HOUSTAN INNOVATION LLP,0,0,0,0,0,0,0,33,32,5,65,0.001888459
2W,ELECTROTHERM (INDIA) LIMITED,0,0,15,48,2,0,0,0,0,0,65,0.001888459
2W,SIMPLEENERGY PVT LTD,0,0,0,0,0,0,0,0,65,568,65,0.001888459
3W,SF2 E VEHICLE PVT LTD,0,0,0,0,0,0,0,16,49,14,65,0.001888459
3W,ISUKII GREENS PVT LTD,0,0,0,0,0,0,0,0,65,14,65,0.001888459
3W,EEVEE ENGINEERING PVT LTD,0,0,0,11,13,5,14,20,1,0,64,0.001859406
2W,ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),0,0,0,0,0,0,0,0,64,6,64,0.001859406
3W,LML LIMITED,0,22,38,3,0,0,0,0,0,0,63,0.001830352
2W,M2GO ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,19,38,4,2,0,63,0.001830352
3W,LAWAT MOTORS,0,0,60,0,1,1,0,0,1,0,63,0.001830352
3W,BESTWAY BANARASH,0,0,2,0,0,15,21,12,12,10,62,0.001801299
3W,SIARSA ELECTRICALS PVT LTD,0,0,13,28,21,0,0,0,0,0,62,0.001801299
3W,GOOD ENERGY INDIA,1,19,36,2,3,0,0,0,0,0,61,0.001772246
2W,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,9,52,37,61,0.001772246
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),0,0,0,0,0,0,0,0,61,39,61,0.001772246
2W,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),0,0,0,0,0,0,0,0,61,96,61,0.001772246
2W,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),0,0,0,0,0,0,0,6,54,3,60,0.001743193
3W,ALLENTTI MOTORS PVT LTD,0,0,0,0,0,0,0,0,59,131,59,0.00171414
3W,NIBE MOTORS PVT LTD,0,0,0,0,15,4,1,19,19,0,58,0.001685086
3W,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,13,0,0,10,34,4,57,0.001656033
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,0,0,0,0,0,0,0,6,51,22,57,0.001656033
3W,KRANTI AUTOMOBILES LTD,0,0,0,1,21,27,5,3,0,0,57,0.001656033
2W,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),0,0,0,0,0,0,0,0,57,21,57,0.001656033
3W,SUPERECO AUTOMOTIVE CO LLP,0,1,47,5,0,2,0,0,1,0,56,0.00162698
3W,ERISHA E MOBILITY PVT LTD,0,0,0,0,0,0,0,0,55,48,55,0.001597927
3W,SUCCESSPATH MARKETING PVT LTD,0,17,30,6,0,0,0,0,0,0,53,0.00153982
3W,BAGHWAN RIKSHAW UDYOG,0,0,0,0,0,3,7,3,40,25,53,0.00153982
3W,NAND ELECTRIC MOTOR VEHICLE PVT LTD,0,0,6,13,30,0,0,0,3,0,52,0.001510767
3W,MALAK TECHNO PVT LTD,0,0,0,0,0,0,0,0,52,50,52,0.001510767
3W,VAHAK FUTURE SOLUTIONS LLP,0,0,0,0,0,0,12,17,23,89,52,0.001510767
3W,NARAINDASS AND SONS,0,0,0,34,12,1,0,0,4,11,51,0.001481714
3W,BRIGHT METAL WORKS,0,0,0,0,0,9,4,7,31,1,51,0.001481714
3W,VSL INDUSTRIES,0,0,0,0,0,0,44,7,0,1,51,0.001481714
2W,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),0,0,0,0,0,0,0,0,51,12,51,0.001481714
LMV,REVA ELECTRIC CAR CO,5,1,26,19,0,0,0,0,0,0,51,0.001481714
2W,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),0,0,0,0,0,0,0,0,50,10,50,0.001452661
3W,NEELAM CYCLE,0,0,0,0,0,0,0,8,42,21,50,0.001452661
2W,LI-IONS ELEKTRIK SOLUTIONS PVT LTD,0,0,0,0,0,40,5,0,5,0,50,0.001452661
2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,50,217,50,0.001452661
3W,MULTI DIMENSIONAL SOLUTIONS,0,0,0,5,18,7,10,10,0,0,50,0.001452661
3W,FITWEL MOBILITY PVT LTD,0,0,0,0,0,0,1,31,17,2,49,0.001423607
2W,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,1,48,8,49,0.001423607
3W,JAGUAR LAND ROVER INDIA LIMITED,0,0,43,6,0,0,0,0,0,0,49,0.001423607
