Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total Sales,Market Share
3W,DIVYA AUTOMOBILES,0,0,0,0,45,3,0,0,0,0,48,0.001394554
LMV,EVAGE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,3,44,60,47,0.001365501
3W,DESMOTO ELECTRICS PVT LTD,0,0,0,0,0,16,30,1,0,0,47,0.001365501
3W,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,0,0,0,0,0,0,0,46,22,46,0.001336448
3W,JCB INDIA LTD,0,0,37,9,0,0,0,0,0,0,46,0.001336448
3W,EVBHARAT RANGE PRIVATE LIMITED,0,0,0,0,0,0,0,15,31,18,46,0.001336448
3W,TWASHTRE AUTOMOTIVE PVT LTD,0,0,0,0,19,4,6,6,11,6,46,0.001336448
2W,AVON CYCLES LTD,0,0,8,37,1,0,0,0,0,0,46,0.001336448
3W,NEUON MOTORS LLP,0,0,0,0,0,0,0,0,45,54,45,0.001307395
3W,SHERA ELECTRICAL AUTO PVT LTD,0,12,11,20,1,1,0,0,0,0,45,0.001307395
3W,KPT INDUSTRIES LTD,0,0,0,14,3,3,4,9,11,3,44,0.001278341
3W,AMPERE VEHICLES PVT LTD,0,0,44,0,0,0,0,0,0,0,44,0.001278341
3W,"""VOLVO GROUP INDIA PVT LTD""",0,0,31,12,0,0,0,0,0,0,43,0.001249288
3W,HITECH ELECTRIC AUTO CO,0,27,14,0,0,0,0,2,0,0,43,0.001249288
3W,JINDAL ELECTRIC VEHICLES,0,0,0,3,37,3,0,0,0,0,43,0.001249288
3W,INDIA YAMAHA MOTOR PVT LTD,0,0,36,7,0,0,0,0,0,0,43,0.001249288
2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,0,0,0,0,0,0,43,2,43,0.001249288
3W,AARGEE ELECTRIC,0,0,1,0,0,0,10,13,18,4,42,0.001220235
3W,SHRI RAM AUTOMOBILES,0,23,17,2,0,0,0,0,0,0,42,0.001220235
2W,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),0,0,0,0,0,0,0,25,16,1,41,0.001191182
3W,GOOD WILL HI PRECISION,0,15,21,3,0,1,0,0,0,0,40,0.001162129
3W,SHAILENDRA AUTOS PVT LTD,0,0,0,0,0,0,0,0,40,91,40,0.001162129
LMV,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,0,0,40,430,40,0.001162129
2W,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),0,0,0,0,0,0,0,13,27,13,40,0.001162129
LMV,GODREJ AND BOYCE MFG CO LTD,15,6,15,1,0,0,1,0,2,0,40,0.001162129
3W,PRIYAM INDUSTRIES AND ENGINEERING PVT LTD,0,0,0,0,0,0,0,0,40,99,40,0.001162129
3W,BABA E RICKSHAW & C BATTERIES,0,2,31,6,0,0,0,0,0,0,39,0.001133075
3W,GAURI AUTO INDIA PVT. LTD,0,0,0,0,15,7,6,10,1,0,39,0.001133075
3W,LUCKY INDUSTRIES,0,0,0,0,0,0,0,0,38,88,38,0.001104022
3W,JAL ENTERPRISES,0,0,0,0,0,0,0,0,38,2,38,0.001104022
3W,NANNHRAY AGIRCULTURE WORKS,0,0,31,6,0,0,0,0,0,0,37,0.001074969
3W,ORIGINAL FUEL SYSTEM PVT LTD,0,0,15,22,0,0,0,0,0,0,37,0.001074969
3W,GRG SMART VEHICLE PVT LTD,0,0,0,0,4,29,4,0,0,0,37,0.001074969
3W,SWADESHI INDUSTRIES,0,0,0,19,18,0,0,0,0,0,37,0.001074969
2W,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),0,0,0,0,0,0,0,0,37,6,37,0.001074969
3W,MAHINDRA & MAHINDRA LIMITED (TRACTOR),0,0,33,3,0,0,0,0,0,0,36,0.001045916
3W,SUNARIYA MOTORS PVT LTD,0,0,0,0,0,0,0,0,36,31,36,0.001045916
2W,YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),0,0,0,0,0,0,0,0,36,67,36,0.001045916
3W,V V A ELECTRIC VEHICLE,0,36,0,0,0,0,0,0,0,0,36,0.001045916
2W,WUXI TENGHUI (IMPORTER: FEZORA INDIA),0,0,0,0,0,0,0,0,35,16,35,0.001016862
3W,KALINGA VENTURES IND P,0,0,25,5,5,0,0,0,0,0,35,0.001016862
3W,REFLEX CONTROL SYSTEM PVT,0,3,22,7,0,2,0,0,0,0,34,0.000987809
3W,SUGANJI RARA ELECTRIC VEHICLE PVT LTD,0,0,0,2,0,18,10,4,0,0,34,0.000987809
3W,ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,7,8,8,4,7,0,34,0.000987809
MMV,OLECTRA GREENTECH LTD,0,0,0,1,11,7,0,3,12,0,34,0.000987809
3W,PRAGYA AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,33,79,33,0.000958756
3W,PUNEET OVERSEAS  INC,0,0,0,0,0,5,13,15,0,0,33,0.000958756
LMV,ATUL AUTO LTD,0,0,14,11,0,0,0,2,5,0,32,0.000929703
3W,VOLTAIC INDUSTRIES PVT LTD,0,0,0,21,5,6,0,0,0,0,32,0.000929703
LMV,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,0,19,3,10,8,32,0.000929703
2W,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),0,0,0,0,0,0,0,0,32,7,32,0.000929703
3W,RP MOTORS,0,0,0,0,0,0,0,0,32,107,32,0.000929703
LMV,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,0,10,17,5,0,0,0,0,0,0,32,0.000929703
2W,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),0,0,0,0,0,0,0,0,31,10,31,0.00090065
3W,APARNA AGRICO,0,0,25,5,0,0,0,0,0,0,30,0.000871596
LMV,MARUTI SUZUKI INDIA LTD,8,11,8,2,1,0,0,0,0,0,30,0.000871596
LMV,SHRI LAKSHMI LATHE WORKS,6,11,8,5,0,0,0,0,0,0,30,0.000871596
3W,MARKUS,0,0,0,0,0,0,0,2,27,35,29,0.000842543
3W,DHAR IN PVT LTD,0,0,0,0,0,0,0,0,29,26,29,0.000842543
3W,S B TRADERS,0,0,0,0,0,0,0,0,29,83,29,0.000842543
3W,PASHUPATI NATH MOTORS PVT LTD,0,0,1,14,12,2,0,0,0,0,29,0.000842543
3W,M/S. DAVE EXIM (P) LTD.,0,0,28,0,1,0,0,0,0,0,29,0.000842543
3W,B24 ROKET EV,0,0,0,0,0,0,0,0,28,663,28,0.00081349
3W,ASHWA ELECTRIC,0,0,2,16,1,4,4,1,0,1,28,0.00081349
3W,SAKSHAM TECH AUTO,0,0,26,2,0,0,0,0,0,0,28,0.00081349
LMV,VGLAN BUILDCON PVT LTD,0,0,13,15,0,0,0,0,0,0,28,0.00081349
3W,SHINE METAL UDYOG PVT LTD,0,0,19,9,0,0,0,0,0,0,28,0.00081349
3W,SHAMMI ELECTRONICS,0,0,0,0,0,0,0,0,28,21,28,0.00081349
3W,SKS AUTOMOBILES (I) PVT LTD,0,0,20,0,0,0,0,5,2,0,27,0.000784437
3W,VEHICLE FACTORY JABALPUR,0,5,22,0,0,0,0,0,0,0,27,0.000784437
2W,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,0,0,0,0,0,0,9,7,11,0,27,0.000784437
3W,PASHUPATI VEHICLE PVT. LTD.,0,1,2,3,20,1,0,0,0,0,27,0.000784437
2W,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),0,0,0,0,0,0,0,12,15,4,27,0.000784437
3W,SWARNCHAKRA AUTOMOBILES PVT LTD,0,0,0,0,0,0,15,7,5,4,27,0.000784437
3W,JAYA AUTOMOTIVES PVT LTD ?????,0,3,23,0,0,0,0,0,0,0,26,0.000755384
3W,SAMEER ENGINEERING,0,0,0,0,16,3,2,0,5,21,26,0.000755384
3W,CELLETRON MOTOR WORKS,0,0,0,0,0,6,9,11,0,93,26,0.000755384
3W,TARA MAA MACHINERY,0,0,0,0,0,0,0,0,26,54,26,0.000755384
3W,NEWTON INDIA INDUSTRIES PVT LTD,0,0,0,0,0,0,12,9,5,0,26,0.000755384
3W,UNIQUE AUTO ELECTRIC,0,0,0,0,0,0,0,0,26,874,26,0.000755384
3W,SAGAR FABRICATIONS,0,0,0,0,0,0,0,16,10,17,26,0.000755384
3W,SPEEDWAYS ELECTRIC PVT LTD,0,14,11,0,0,0,0,0,0,0,25,0.00072633
3W,DURABLE FLANGES PVT LTD,0,0,0,1,7,17,0,0,0,0,25,0.00072633
3W,MAHINDRA NAVISTAR  AUTOMOTIVES LTD,0,0,19,6,0,0,0,0,0,0,25,0.00072633
3W,LAKSHYA MOTORS,0,0,0,0,13,0,3,9,0,10,25,0.00072633
3W,BULL MACHINES PVT LTD,0,0,21,3,0,0,0,0,0,0,24,0.000697277
3W,GOBIND INDUSTRIES PVT LTD,0,0,0,0,7,0,0,12,5,10,24,0.000697277
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,0,0,0,0,0,4,2,14,4,0,24,0.000697277
3W,SAS MOTORS LTD.,7,13,4,0,0,0,0,0,0,0,24,0.000697277
3W,KNIGHT QUEEN INDUSTRIES PV LTD,8,15,1,0,0,0,0,0,0,0,24,0.000697277
3W,JOYRAM STEEL FABRICATION WORKS,0,0,0,0,0,1,5,3,14,3,23,0.000668224
2W,ATOMEX E-MOTORS INDIA PVT LTD,0,0,0,0,0,2,17,3,1,0,23,0.000668224
3W,CHIRAG ENTERPRISES,0,0,0,19,4,0,0,0,0,0,23,0.000668224
3W,ADITYA AGRO INDUSTRIES,0,2,17,3,0,0,1,0,0,0,23,0.000668224
2W,JIANGSU DALONG (IMPORTER: SABOO TOR),0,0,0,0,0,0,0,0,22,24,22,0.000639171
2W,MAA LUXMI E-VEHICLES PVT. LTD.,0,0,0,0,0,0,0,18,4,0,22,0.000639171
LMV,PINNACLE MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,0,22,27,22,0.000639171
2W,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,22,7,22,0.000639171
3W,NANYA AIRCONN PVT LTD,0,0,14,7,1,0,0,0,0,0,22,0.000639171
3W,PUNJAB BODY BUILDERS,0,0,0,0,0,0,0,0,22,37,22,0.000639171
2W,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),0,0,0,0,0,0,0,0,22,10,22,0.000639171
2W,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),0,0,0,0,0,0,0,0,22,23,22,0.000639171
3W,TEREX CORPORATION,0,15,6,1,0,0,0,0,0,0,22,0.000639171
2W,LOG 9 MATERIALS SCIENTIFIC PVT LTD,0,0,0,0,0,0,21,0,0,0,21,0.000610117
3W,VE COMMERCIAL VEHICLES LTD,0,9,12,0,0,0,0,0,0,0,21,0.000610117
2W,WUXI DONGMA (IMPORTER: DYNAM PRECISION),0,0,0,0,0,0,0,6,15,6,21,0.000610117
3W,SAURYAA SHARYO CORPORATION,0,4,12,2,0,0,0,1,2,0,21,0.000610117
3W,EVOLUTION AUTOTECH,0,0,0,10,3,1,5,2,0,2,21,0.000610117
3W,SITYOG ENGINEERING PVT LTD,0,0,0,0,0,15,1,0,5,2,21,0.000610117
3W,ZBEE INDIA PVT LTD,0,0,0,16,2,2,1,0,0,0,21,0.000610117
2W,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),0,0,0,0,0,0,0,0,20,37,20,0.000581064
LMV,DILLI ELECTRIC AUTO PVT LTD,0,2,1,7,2,0,1,2,5,0,20,0.000581064
3W,DUKEMOTO MOTORS PVT LTD,0,0,0,0,11,9,0,0,0,0,20,0.000581064
3W,RAVI METAL WORKS,0,0,0,0,0,0,0,0,20,452,20,0.000581064
3W,ARIHANT ENTERPRISES,0,0,0,12,8,0,0,0,0,0,20,0.000581064
3W,VGLAN BUILDCON PVT LTD,4,4,8,4,0,0,0,0,0,0,20,0.000581064
LMV,M/S SHRIRAM AUTO TECH PVT LTD,0,0,1,18,1,0,0,0,0,0,20,0.000581064
2W,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),0,0,0,0,0,0,0,0,20,7,20,0.000581064
3W,SUNSHINE TECHNOLOGIES,0,0,0,0,17,0,0,0,2,7,19,0.000552011
2W,MAHINDRA TWO WHEELERS LTD,5,14,0,0,0,0,0,0,0,0,19,0.000552011
3W,KARNATAKA SCOOTERS LTD,0,0,19,0,0,0,0,0,0,0,19,0.000552011
2W,NIC TEST ACCOUNT-1,0,3,6,10,0,0,0,0,0,0,19,0.000552011
3W,"MAYUR ENTERPRISES,BARIPADA",0,0,3,0,15,1,0,0,0,0,19,0.000552011
3W,DIWA GREEN TECHNOLOGY PVT LTD,0,0,0,10,6,1,2,0,0,0,19,0.000552011
3W,SHRI SHIVSHANKAR ENTERPRISES,0,0,0,0,5,4,2,8,0,0,19,0.000552011
2W,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),0,0,0,0,0,0,0,0,19,30,19,0.000552011
3W,EBUZZ MOBILITY LLP,0,0,0,0,0,0,0,1,17,16,18,0.000522958
2W,EKO VEHICLE PRIVATE LIMITED,10,0,8,0,0,0,0,0,0,0,18,0.000522958
3W,ATR TECHNOSALES PRIVATE LIMITED,0,0,4,9,5,0,0,0,0,0,18,0.000522958
3W,VEANCO AUTOMOTIVES PVT LTD,0,0,0,0,0,0,1,6,11,3,18,0.000522958
2W,INDUS ELECTROTHERM INDIA LTD,13,3,2,0,0,0,0,0,0,0,18,0.000522958
LMV,GOENKA ELECTRIC MOTOR VEH P L,0,1,2,15,0,0,0,0,0,0,18,0.000522958
3W,SML ISUZU LTD,0,1,17,0,0,0,0,0,0,0,18,0.000522958
2W,GOGORO INDIA PVT LTD,0,0,0,0,0,0,0,0,18,115,18,0.000522958
2W,HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),0,0,0,0,0,0,0,0,18,3,18,0.000522958
2W,WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),0,0,0,0,0,0,0,0,17,18,17,0.000493905
3W,TAO POWER PRIVATE LIMITED,0,0,0,0,0,0,0,6,11,3,17,0.000493905
LMV,SHRI ABIRAMI TRAILERS,2,2,5,8,0,0,0,0,0,0,17,0.000493905
3W,M/S JASRAJ AUTO AGENCY,0,0,0,0,0,0,0,17,0,0,17,0.000493905
3W,MUNDE MECHANICAL WORKS,0,0,17,0,0,0,0,0,0,0,17,0.000493905
3W,KNIGHT QUEEN INDUSTRIES PVT LTD,0,3,10,4,0,0,0,0,0,0,17,0.000493905
3W,KRANTI INTERNATIONAL,0,0,0,10,6,0,0,0,0,0,16,0.000464851
3W,DEVAM ELECTRIC VEHICLES PVT LTD,0,0,0,4,0,0,0,0,12,83,16,0.000464851
3W,VISHWARUP ENTERPRISE,0,0,0,0,4,0,0,2,10,2,16,0.000464851
3W,RD AND CO,0,0,0,0,0,3,3,9,1,0,16,0.000464851
3W,SURYA INTERNATIONAL,0,0,0,0,0,0,0,0,16,13,16,0.000464851
2W,FUJIYAMA POWER INFRA PVT. LTD.,0,0,0,0,0,0,0,0,16,4,16,0.000464851
3W,GURUKIRPA MOTORS,0,0,16,0,0,0,0,0,0,0,16,0.000464851
3W,ADAPT MOTORS PVT LTD,0,0,0,0,6,2,1,3,4,1,16,0.000464851
3W,SCOOTERS INDIA LTD,0,0,1,0,0,5,4,5,1,1,16,0.000464851
LMV,INTERNATIONAL TRACTORS LIMITED,0,6,6,2,1,0,0,0,0,0,15,0.000435798
2W,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),0,0,0,0,0,0,0,12,3,2,15,0.000435798
3W,LAKSHMI AUTO TRADERS,0,0,0,0,0,0,0,0,15,0,15,0.000435798
LMV,BILAL TRAILORS,2,8,1,4,0,0,0,0,0,0,15,0.000435798
3W,SUN MOTORS,1,3,7,4,0,0,0,0,0,0,15,0.000435798
3W,M/S VISHNU CLEAN ENERGY VEHICLES LLP,0,0,0,0,0,0,0,8,7,35,15,0.000435798
LMV,M/S CHAMPION POLY PLAST,0,2,2,11,0,0,0,0,0,0,15,0.000435798
2W,SMAP VEHICLES (IMPORTER: ELEGO MOTORS),0,0,0,0,0,0,0,0,15,2,15,0.000435798
3W,RENAULT INDIA PVT LTD,0,0,14,0,0,0,0,0,0,0,14,0.000406745
3W,TRUZ INDUSTRIES,0,0,0,5,6,0,0,0,3,4,14,0.000406745
2W,PIAGGIO VEHICLES PVT LTD,3,7,4,0,0,0,0,0,0,0,14,0.000406745
3W,MAN TRUCKS INDIA PVT. LTD.,0,0,14,0,0,0,0,0,0,0,14,0.000406745
3W,RASANDIK MOTORS PVT LTD,0,0,12,2,0,0,0,0,0,0,14,0.000406745
3W,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,3,11,55,14,0.000406745
3W,PRABHA AUTOMOTIVE ENGINEERS PVT LTD,0,0,0,0,0,0,0,6,8,9,14,0.000406745
3W,PRAJJWAL MAHAJAN TRADERS,0,0,0,0,0,0,0,0,13,99,13,0.000377692
3W,UNIC,0,0,13,0,0,0,0,0,0,0,13,0.000377692
3W,LEOPAN MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,0,13,4,13,0.000377692
3W,EXTRAMILE GAS TECH,0,0,0,3,4,6,0,0,0,0,13,0.000377692
LMV,ELECTROTHERM (I) LIMITED,0,1,11,1,0,0,0,0,0,0,13,0.000377692
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,0,0,0,0,0,0,0,13,8,13,0.000377692
3W,OM. INDUSTRIES,0,0,0,0,5,3,4,1,0,0,13,0.000377692
LMV,KION INDIA PVT LTD,2,3,4,0,0,0,0,4,0,0,13,0.000377692
3W,GREEN WORLD MOTORS PVT LTD,0,0,0,10,2,0,0,0,0,0,12,0.000348639
3W,G. M. VEHICLE INDUSTRIES,0,0,0,0,0,0,0,9,3,22,12,0.000348639
2W,WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),0,0,0,0,0,0,0,0,12,4,12,0.000348639
2W,ABZO MOTORS PVT LTD,0,0,0,0,0,0,0,0,12,48,12,0.000348639
2W,WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),0,0,0,0,0,0,0,0,12,12,12,0.000348639
LMV,M/S HOVEL CYLINDER PVT LTD,0,0,11,1,0,0,0,0,0,0,12,0.000348639
LMV,SHIGAN EVOLTZ LTD,0,0,0,1,1,0,9,0,0,0,11,0.000319585
2W,DONGMA VEHICLE (IMPORTER: MERCURY METALS),0,0,0,0,0,0,0,0,11,1,11,0.000319585
3W,NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,0,0,8,3,0,0,0,0,0,0,11,0.000319585
3W,KRISHNA ENGINEERING,0,5,6,0,0,0,0,0,0,0,11,0.000319585
2W,YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),0,0,0,0,0,0,0,0,11,13,11,0.000319585
3W,GURJEET AGRO INDUSTRIES,0,1,8,2,0,0,0,0,0,0,11,0.000319585
3W,SANT ENGG WORKS,0,0,11,0,0,0,0,0,0,0,11,0.000319585
2W,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),0,0,0,0,0,0,0,0,11,4,11,0.000319585
2W,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),0,0,0,0,0,0,0,0,11,17,11,0.000319585
LMV,VINAYAK INDUSTRIES,0,0,11,0,0,0,0,0,0,0,11,0.000319585
3W,VIJEX STEEL FABRICATION,0,0,0,0,0,0,0,0,11,22,11,0.000319585
LMV,ANTONY TRAILORS,1,8,2,0,0,0,0,0,0,0,11,0.000319585
3W,LOCAL TRAILER MANUFACTURER,0,0,0,0,0,0,0,0,11,0,11,0.000319585
3W,CHANGZHOU YEFEND VEHICLE CO,0,3,8,0,0,0,0,0,0,0,11,0.000319585
2W,JIANGSU SUNHOU (IMPORTER: SABOO TOR),0,0,0,0,0,0,0,1,10,2,11,0.000319585
3W,SUNANDA GREENTECH PVT LTD,0,0,0,0,0,0,0,0,11,112,11,0.000319585
3W,GEO ALLIANCE,0,0,0,0,1,6,4,0,0,0,11,0.000319585
3W,DEVAM ELECTRIC VEH P L,1,7,3,0,0,0,0,0,0,0,11,0.000319585
3W,HERO ECO VEHICLES PVT LTD,0,10,1,0,0,0,0,0,0,0,11,0.000319585
3W,S.S.AGRO TECH,0,0,10,1,0,0,0,0,0,0,11,0.000319585
3W,GURDEEP ENGINEERING WORKS,0,1,8,1,0,0,0,0,0,0,10,0.000290532
3W,H. D. AUTOMOTIVES,0,0,0,1,9,0,0,0,0,0,10,0.000290532
3W,SHRIRAM ASTRAL MOTOR CO,0,0,0,0,6,4,0,0,0,0,10,0.000290532
3W,PREET TRACTORS PVT. LTD.,0,0,10,0,0,0,0,0,0,0,10,0.000290532
3W,GENERAL AGENCIES(KOLKATA) PVT LTD,0,0,0,0,9,1,0,0,0,0,10,0.000290532
2W,QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),0,0,0,0,0,0,0,0,10,21,10,0.000290532
LMV,EULER MOTORS PVT LTD,0,0,0,0,0,0,0,7,3,2,10,0.000290532
LMV,EICHER TRACTORS,4,2,4,0,0,0,0,0,0,0,10,0.000290532
MMV,VE COMMERCIAL VEHICLES LTD,0,0,0,3,0,0,0,7,0,0,10,0.000290532
2W,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),0,0,0,0,0,0,0,0,10,4,10,0.000290532
3W,ADITYA ENTERPRISES,0,0,0,0,1,0,5,3,1,0,10,0.000290532
2W,YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),0,0,0,0,0,0,0,1,9,0,10,0.000290532
3W,A.K.AUTO ELECTRICAL,0,2,8,0,0,0,0,0,0,0,10,0.000290532
LMV,NISSAN MOTOR INDIA PVT LTD,0,2,4,0,1,0,0,3,0,0,10,0.000290532
2W,LML LIMITED,0,0,10,0,0,0,0,0,0,0,10,0.000290532
3W,JIANGSU JINPENG (IMPORTER: KKL HITECH EV),0,0,0,0,0,0,0,0,10,16,10,0.000290532
LMV,MACNEILL ENGG LTD,2,2,0,0,0,0,6,0,0,0,10,0.000290532
LMV,LIUGONG INDIA PVT. LTD,0,0,0,0,1,0,0,9,0,0,10,0.000290532
3W,KRANTI AUTOMOBILES LIMITED,0,0,9,0,0,0,0,0,0,0,9,0.000261479
3W,GREAVES INDIA PVT LTD,0,0,9,0,0,0,0,0,0,0,9,0.000261479
3W,LOTIA  MOTORS  LTD,0,0,8,1,0,0,0,0,0,0,9,0.000261479
3W,TRANSVAHAN TECHNOLOGIES INDIA PVT LTD,0,0,0,0,9,0,0,0,0,0,9,0.000261479
LMV,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,0,0,2,0,7,6,9,0.000261479
3W,ASTER AUTOMOTIVE PVT LTD,0,0,0,7,0,0,0,2,0,0,9,0.000261479
3W,S.P. ELECTRONICS,0,0,3,6,0,0,0,0,0,0,9,0.000261479
LMV,AADITYA EMOTORS INDIA PVT LTD,0,0,2,6,0,0,0,0,0,0,8,0.000232426
LMV,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,1,0,0,0,0,1,1,5,0,8,0.000232426
2W,WUXI TENGHUI (IMPORTER: JAIDKA POWER),0,0,0,0,0,0,0,0,8,1,8,0.000232426
LMV,LAKSHMI AGRO INDUSTRIES,6,1,1,0,0,0,0,0,0,0,8,0.000232426
2W,JIANGSU AIMA (IMPORTER: FUTURE EV),0,0,0,0,0,0,0,0,8,40,8,0.000232426
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),0,0,0,0,0,0,0,0,8,3,8,0.000232426
3W,KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,8,4,8,0.000232426
3W,UMA AUTO INDUSTRIES PVT LTD,0,1,0,6,1,0,0,0,0,0,8,0.000232426
3W,THE COMMERCIAL MOTORS PVT LTD,0,0,0,0,0,0,0,0,8,10,8,0.000232426
